NAMA PERUSAHAAN;ASET LANCAR;ASET TIDAK LANCAR;TOTAL ASET;LIABILITAS JANGKA PENDEK;LIABILITAS JANGKA PANJANG;EKUITAS;TOTAL LIABILITAS DAN EKUITAS;LABA BRUTO;ARUS KAS DARI AKTIVITAS OPERASI;ARUS KAS DARI AKTIVITAS INVESTASI;ARUS KAS DARI AKTIVITAS PENDANAAN;KAS DAN SETARA KAS PADA AKHIR PERIODE
Astra Agro Lestari Tbk;9414208000000;20985698000000;30399906000000;5960396000000;3268337000000;21171173000000;30399906000000;4830014000000;4895119000000;1186688000000;891420000000;3896022000000
PT Primarindo Asia Infrastructure, Tbk;3878523208;179474421882;218259657090;67293440135;144594333973;6371882982;218259657090;7022067627;4889708133;453904898;1987974120;427945393
Sampoerna Tbk;40961609000000;7891193000000;48852802000000;19445086000000;2008674000000;27399042000000;48852802000000;12735078000000;12632399000000;391186000000;8272267000000;20555627000000
PT Blue Bird Tbk;1219496000000;5404533000000;6624029000000;588895000000;956505000000;5078629000000;6624029000000;275899000000;127088000000;208093000000;-394103000000;739928000000
PT Astrindo Nusantara Infrastruktur Tbk.;221915717;750680205;972595922;445005668;125519722;402070532;972595922;18566944;12184384;53729963;-64525220;5443826
PT FKS Food Sejahtera Tbk;591544000000;1361255000000;1952799000000;796469000000;312301000000;844029000000;1952799000000;255470000000;-90254000000;-49118000000;-26443000000;61026000000
PT Agung Podomoro Land Tbk;12458841718000;17950971517000;30409813235000;6108413493000;13396629028000;10904770714000;30409813235000;10115310517000;310725162000;-165363012000;6120845000;994912401000
Sentul City Tbk;5821830584949;11239789905885;17061620490834;3159898289983;3326456017493;10575266183358;17061620490834;707152527432;1385872770770;-5087385091;-1148513194596;379528109893
Nusantara Infrastructure Tbk;1368114911830;5344274276292;6712389188122;598237458034;274121808766;3372932921322;6712389188122;279873954097;105407012402;-306731331342;922282473623;30787009595
PT Ginting Jaya Energi Tbk;377923689204;374743626796;752667316000;98994811748;59425381928;594247122324;752667316;10624193884;5158392341;-3667132815;-2089850248;1252392941
