NAMA PERUSAHAAN;ASET LANCAR;ASET TIDAK LANCAR;TOTAL ASET;LIABILITAS JANGKA PENDEK;LIABILITAS JANGKA PANJANG;TOTAL LIABILITAS;EKUITAS;TOTAL LIABILITAS DAN EKUITAS;LABA BRUTO;ARUS KAS DARI AKTIVITAS OPERASI;ARUS KAS DARI AKTIVITAS INVESTASI;ARUS KAS DARI AKTIVITAS PENDANAAN;KAS DAN SETARA KAS PADA AKHIR PERIODE
Astra Agro Lestari Tbk;9414210000000;20985700000000;30399900000000;5960400000000;3268340000000;9228730000000;21171200000000;30399900000000;4830010000000;4895120000000;1186690000000;891420000000;3896020000000
PT Primarindo Asia Infrastructure, Tbk;3878523208;179474000000;218260000000;67293440135;144594000000;211888000000;6371882982;218260000000;7022067627;4889708133;453904898;1987974120;427945393
Sampoerna Tbk;40961600000000;7891190000000;48852800000000;19445100000000;2008670000000;21453800000000;27399000000000;48852800000000;12735100000000;12632400000000;391186000000;8272270000000;20555600000000
PT Blue Bird Tbk;1219500000000;5404530000000;6624030000000;588895000000;956505000000;1545400000000;5078630000000;6624030000000;275899000000;127088000000;208093000000;-394103000000;739928000000
PT Astrindo Nusantara Infrastruktur Tbk;221915717;750680205;972595922;445005668;125519722;570525390;402070532;972595922;18566944;12184384;53729963;-64525220;5443826
PT FKS Food Sejahtera Tbk;591544000000;1361260000000;1952800000000;796469000000;312301000000;1108770000000;844029000000;1952800000000;255470000000;-90254000000;-49118000000;-26443000000;61026000000
PT Agung Podomoro Land Tbk;12458800000000;17951000000000;30409800000000;6108410000000;13396600000000;19505000000000;10904800000000;30409800000000;10115300000000;310725000000;-165363000000;6120845000;994912000000
Sentul City Tbk;5821830000000;11239800000000;17061600000000;3159900000000;3326460000000;6486350000000;10575300000000;17061600000000;707153000000;1385870000000;-5087385091;-1148510000000;379528000000
Nusantara Infrastructure Tbk;1368110000000;5344270000000;6712390000000;598237000000;274122000000;872359000000;3372930000000;6712390000000;279874000000;105407000000;-306731000000;922282000000;30787009595
PT Ginting Jaya Energi Tbk;377924000000;374744000000;752667000000;98994811748;59425381928;158420000000;594247000000;752667316;10624193884;5158392341;-3667132815;-2089850248;1252392941
