No,reviewers_name,reviwers_rating,reviwers_title,reviewers_text,
1,TheLittleSongbird,4,Doesn't really enchant or entertain,"As 'Sleeping Beauty' is one of my favourite films, Disney, animated or otherwise, and Maleficent is a contender for the scariest and most memorable female villain of the Disney canon, despite the mixed reviews 'Maleficent' did maintain my interest. Finally watching it after being very behind with film-watching, 'Maleficent' does have enough to salvage it from being a complete waste but largely it is really underwhelming. The best thing about 'Maleficent' is the performance of Angelina Jolie. Jolie looks incredible in her knockout costume and make-up (which are spot on for the character), and she is sinister and alluring while also bringing some wit to some scenes. The film also looks gorgeous, it's beautifully shot with eye-catching and richly atmospheric set and costume design and the director's long-time experience in special effects work clearly shows in the film. The score is whimsical, haunting, hypnotic and beautifully orchestrated, as one would expect from James Newton Howard. In terms of story, the highlight is the suspenseful and quite powerful Christening scene, that gave the film and Maleficent's character so much promise and set the tone brilliantly. Also loved the delectably witty and subtly dangerous rapport between Maleficent and her servant Diaval, played creepily by Sam Riley, it is by far the best-executed and believable of all the character relationships in the film. However, part of the problem is that after how well Maleficent (film and character) is set up and after the character making such an impact as one of Disney's most iconic and scariest villains it just didn't seem believable no matter how much the film tried seeing her softened and more sympathetic. More problematic is that in the attempts to give Maleficent this dimension and origins story, most of the rest of the characters suffer, not just in being bland but in some cases being distorted. The worst case being King Stefan being made into a shockingly one-dimensional and underwritten villain. Prince Phillip is almost completely useless (Aurora's mother even more so), even for a plot device, and the three good fairies are irritating and their inept stupidity makes them far less endearing. With the performances, the only great one is Jolie's (Riley's is also effective but his role isn't anywhere near as juicy). Elle Fanning is a very vacuous and at worst somnambulist Aurora. Say what you will about the Aurora in the animated film being  dull catalyst in her film, she is at least one of the most beautiful visually Disney protagonists, radiates in charm and her singing voice is one of the most distinctive and loveliest in a Disney film ever, which at least makes her memorable, all three attributes of which Fanning lacks with her Aurora. Sharlto Copley both fails to engage and over-compensates as Stefan, Brenton Thwaites is bland while Juno Temple and fine actresses Lesley Manville and Imelda Staunton are charmless and annoying, their slapstick comic relief falling as flat as a pancake. Linda Woolverton's script is very lazy here, with clichéd and dreary dialogue and very clumsy attempts at being funny. Apart from the christening scene and the scenes between Maleficent and Diaval, the story is a mess of inconsistencies and half-baked ideas seen before in Disney films that executed them far better (notably 'Frozen'), not enough of it enchants and entertains and it is really hard to swallow Aurora being so forgiving as easily as that. Overall, starts off great and has benefits of looking beautiful, having a wonderfully composed music score and a lead performance that couldn't have been more perfect. But it isn't enchanting or entertaining enough really, and the way the other characters are written and the flawed execution of the script and story hurt 'Maleficent' severely. 4/10 Bethany Cox",
2,Leofwine_draca,3,Fairy tale reworking,"MALEFICENT is a fairy tale with a twist: it's a live-action follow-up to Disney's SLEEPING BEAUTY, with the focus now on that film's villainous character, the witch Maleficent. It turns out that she's a misunderstood wood-dwelling recluse who's just looking for love, but with this film's laughable scripting you won't be buying that for a second. No, this version is a complete waste of time, and you realise that from the outset as it's one of those kid-friendly films absolutely loaded down with CGI: you get CGI flying through CGI landscapes, CGI castles, and CGI fairies and supporting characters. Shoehorned-in battle scenes are supposedly there to keep adults and boys involved but don't, while Angelina Jolie is merely distracting with those contact lenses and prosthetic cheekbones. The meandering storyline goes on and on without getting anywhere, and the unconvincing actors mired in this mess include a wasted Sharlto Copley and a miscast Sam Riley. The end result? Don't bother.",
3,mark.waltz,3,"Too beautiful to sleep through, but is it worthy of re-telling?","I was not initially impressed by the cover art of the poster and DVD of the 2014 blockbuster, a companion piece to the 1959 Disney classic ""Sleeping Beauty"". But upon seeing the film, I must say that it is much better looking than I anticipated, and Angelina Jolie doesn't look like someone renting a Kmart Halloween costume like the poster indicated it might look. Still, although you are pulled into the magical world of Disney through computer generated effects and obvious animation, is it really nothing more then assassination towards the 1959 classic? Or is it something that you can enjoy once, and then move on, hungry for more substance? I'm hoping that is a combination of the two, because as entertained as I was, I was really disappointed that it is all style and no substance, and certainly not something that is generally well-acted. In the case of this one, the acting ranks highly between over the top and severely bland. Then, there's the feminist aspect of the leading character which at times makes her totally unsympathetic.Malificient's backstory is presented believably with her a pretty young fairy, meeting an poor farm boy who through his own ambitions ends up becoming King, ultimately jilting her after cutting off her fairy wings which he uses to advance his position with the dying king, humiliated by Malificent in battle. His betrayal of the young Malificent leaves her filled with revenge, and that brings on the story of the curse to the spinning wheel and eventually her influence in the life of Princess Aurora. Jolie alternates between softly speaking and flailing curses, and if there ever was a bi-polar fairy in need of medication, Malificient is it. Even when she removes the curse after having an odd bond with the princess, it seems obvious that plans will change and that it is revenge that she is after. At times after the bonding occurs, the story takes more than passing resemblance to the fairy tale of Rapunzel which was then being finalized as part of the movie version of ""Into the Woods"". How teen-aged Aurora couldn't see that the darkly dressed Jolie was the evil fairy who cursed her makes no sense. I never quite believed that even after being introduced as a sweet young fairy that as older she was nothing more than an evil queen separated at birth from her twin who terrorized Snow White. The abundance of computer generated effects in movies may look great, but that doesn't mean that the films are. I am fairly happy to say that this one is adequate, no masterpiece but no stinker either. However, its anti-male mentality can be taxing, and trying to sanitize an obvious evil character just doesn't always jell. While the musical ""Wicked"" did make the Wicked Witch of the West understandable, this just makes Malificent seem like some sort of Satanic demon who only wants to castrate the one dimensional king who once gave her true love's kiss. The repeat of the original love song at the end has a demonic edge to it and left me spooked more than touched. Call this Disney's ""MacBeth-ish"" variation of the classic Grimm fairy tale.",
4,studioAT,3,Maleficent,"A decent enough origin story for the Sleeping Beauty baddie. It's visually stunning, but isn't a film I'd rush to see again.",
5,sddavis63,4,An Unnecessary Fairy Tale About A Fairy Tale,"Some years ago my daughter watcehd this movie and has always spoken of how good it was. I didn't watch it with her at the time but decided to check it out this morning with some free time that had fallen into my hands. I have to be honest and say that I was disappointed. Everything you would expect Disney to do right Disney did right. The CGI and the animation was quite good. The basic story was creative. The problem was that the story failed to pull me in. It's a fairy tale about a fairy tale. This is obviously based on ""Sleeping Beauty"" and seems to be trying to fill in the story of the evil fairy godmother who cast the spell on the Beauty. It explains what happened to Maleficent (the ""godmother"") and why she responded the way she did. Personally, I've never felt the need for backstories on the evil characters we sometimes come across. I think they're far more fun when they're just delightfully and wickedly evil. Telling us all about Maleficent's past was ike the movie version telling us why the Grinch was such a grinch. To me, it was unnecessary. Creative, yes. As I said - credit for that. But still unnecessary, for me at least. I have to confess that this was one of the few movies I've watched that I didn't make it through to the end with. After the first half hour or so my attention was wandering, and I actually turned it off with about 15 minutes to go. I wasn't even interested enough to see how it all turned out. (4/10)",
6,cricketbat,4,"Way to completely pull out the rug from yourselves, Disney.",,"Way to completely pull out the rug from yourselves, Disney. Maleficent changes everything we know and love about Sleeping Beauty for no good reason. This film isn't clever, it's subversive. Yes, it's visually appealing, but this movie dismisses classic fairytale elements and, instead, replaces them with modern reboot clichés. People who like this movie probably didn't ever like Sleeping Beauty in the first place."
7,pennyelenabooks,4,Good enough,"The classic story of Sleeping Beauty through the eyes of its villain, Maleficent. Maleficent is a beautiful fairy, living in a peaceful kingdom. She meats Stefan, a human boy who comes into her region to steal. They become friends, then lovers. But Stefan is too ambitious. He wants to become king, and in order for that to happen, he has to kill Maleficent, the protector of the magic kingdom. So he tricks her and cuts off her wings. Broken by Stefan's betrayal, Maleficent seeks revenge. And she gets it by coursing Stefan's only daughter, Aurora. The movie is not as good as I expected it to be. Yes, it is not the original story, but it is not as good either. I liked the fact that they showed Maleficent from the start and how she became who she became, but the whole battle theme, Aurora growing up, King Stefan turning mad, wasn't that interesting. And the meeting with prince Phillip, well, that was a disappointment. I liked, though, the special effects, the make up and the costumes. They were really good and looked quite original. But the plot doesn't really support their level, especially the ending that was eehh well, you could easily guess it from the beginning. So 4 out of 10,because I liked the performances for that I couldn't rate it lower.",
8,digitalbeachbum,1,Creative license can be bad,"The original story of Maleficent isn't anything to do with this movie. In fact, this entire movie is taking too much creative license. The story is good enough with out having to connect it to the original story of Sleeping Beauty. Aside from this, there are plenty of technical problems and mistakes in the story which are deus ex machina . Too many fallacious scenes. Overall a complete disappointment.",
9,TheMovieDiorama,4,"Maleficent malevolently rejuvenates a classic, whilst inducing you into an eternal coma.",,"Re-imagining a Disney classic by shifting the perspective of its story from the protagonist to the antagonist sounds like an act of courage. A valorous attempt to execute a refreshingly different approach. Whilst this is admirable, the antagonist themselves should not have their entire characterisation altered for the sake of emotional connectivity. It defeats the purpose of this exercise. With that said, despite Jolie's performance, superlative costume designs and Howard's reliable score as always, Maleficent never manages to soar through the clouds with her feathery wings. Instead, grounded by misdirection, characterised confusion and vacuous dialogue."
10,marmar-69780,4,maleficent,Its fells rushed at some moments and characters do some things that doesnt make sense for them to do but its has some good staff for kids,
