cases,harga_saham,Tavg,ff_avg,ddd_car
8,254,28.2,2,N 
3,268,28.1,2,N 
3,276,27.4,3,W 
1,284,27.8,2,W 
4,278,28.2,3,W 
13,250,28.8,4,W 
9,262,29.7,3,SW
7,244,28.4,2,S 
1,226,26.7,2,S 
40,222,27.3,2,NW
23,208,27.3,2,S 
52,194,28.1,2,N 
68,181,26.4,1,NW
96,169,27.2,2,W 
93,159,25.4,2,S 
78,150,27.1,2,SW
114,150,27.8,2,S 
209,170,27.7,2,NE
291,185,27.9,2,S 
266,175,26.9,2,S 
219,181,28.4,2,W 
296,182,28.1,2,NW
222,183,29.2,3,W 
380,191,28.6,2,W 
449,210,27.5,2,W 
462,218,28.1,3,W 
437,204,27.9,2,N 
677,210,28.2,2,N 
622,208,27.8,2,E 
564,210,28,2,N 
591,199,27.8,2,S 
751,192,28.5,2,N 
802,197,29.1,2,SW
367,193,29.7,2,NE
747,183,28.8,2,E 
560,182,28.9,3,E 
714,179,29.2,3,NE
859,167,28.7,3,NE
422,162,27.4,2,SW
821,184,27.2,2,S 
521,180,27.5,2,S 
689,188,27.7,2,S 
778,181,27.9,3,E 
946,198,28.8,3,NE
756,206,28.6,2,S 
698,246,28.4,2,SW
478,230,28.7,2,S 
942,224,29,2,E 
1408,234,28.1,3,E 
1130,234,28.6,3,E 
975,224,28.3,4,E 
1013,228,26.8,2,S 
970,222,27.7,2,E 
1353,222,28,4,NE
855,226,28.2,3,W 
1345,234,28.4,2,W 
1371,234,28.4,2,N 
1389,238,28.4,2,S 
1179,250,28.7,2,NE
1369,246,28,3,E 
1200,240,28.1,4,E 
1402,276,27.8,1,SW
1644,290,28.5,2,S 
2057,284,27.4,2,E 
2481,274,28.3,3,E 
1905,284,29,3,NE
2083,268,28.9,2,E 
2157,280,29.3,4,E 
2058,276,28.8,2,NE
2591,276,28.6,2,NE
2143,274,27.1,2,SW
1926,274,27.4,2,NE
2059,272,27.1,2,SW
2229,272,27.1,2,SW
2416,266,27.5,2,SW
2481,266,27.6,2,S 
2090,252,28.6,3,E 
2648,246,27.9,2,E 
2881,244,28.1,2,S 
3229,248,26.8,2,N 
2617,244,27.6,2,E 
2382,250,28,3,E 
2578,248,27.6,3,E 
3727,248,28,2,SW
5200,266,26.8,2,S 
3266,258,27.1,2,N 
2559,258,27.5,2,E 
3107,260,28.3,3,E 
3131,258,27.1,4,E 
3159,264,27.8,2,E 
2944,260,28,2,N 
3456,256,27.6,2,SW
3352,258,27.6,2,E 
3844,256,27.8,2,SW
3777,260,28.1,2,N 
