No,Nama,Komentar,Rating/Rate
1,jgaaar,"As little as I felt I delved into the personalities of the characters, I did enjoy the film a lot. Shinkai's metaphorical use of trains just continuing to go along their routes that diverge in several ways really applies in this film, as much as it did in 5 Centimeters per Second. Everyone's lives diverge in different ways, things happen in dreams and are forgotten the next day, things happen in reality and are forgotten over a lifetime. I enjoyed Taki's and Mitsuha's struggles throughout the film to help each other, and as much as it made me well up tears in my eyes, I enjoyed his questioning of how much our memories make up who we are.",9
2,Builder_K,"Spectacular animation. There is one particular scene near the beginning which has a sort of ""3D camera rotation"" that looks so real that I thought it was rendered; but at the last second, the character turned their head, and I was able to tell that it had been read more",10
3,Zephariel,"Overall I'm not saying this movie is utter rubbish, but its definitely not a masterpiece either and it's definitely not a movie which deserves to be on the top spot especially with the lack of originality of the story. What surprises me the most is that some people realized this and still giving it a 10/10. I definitely won't recommend this to anyone unless you want an anime similar to The Lake House, well here you go!",5
4,Satire,"Overall, Kimi no Na wa was a very good film, though not nearly as perfect as many people, who have also seen the premiere, are claiming it to be. There are a few issues that hold the film back, but it is easily still worth two hours of anyone's time. With Makoto Shinkai creating quality works such as Your Name, it has, and will, become increasingly difficult to forget his.",8
5,manofmanymanga,"""Your Name."" is, in a word, a journey. A journey into what will surely be the future of cinematography, as well as a journey on a grand emotional roller coaster.",10
6,Gurrengarterbelt,"Technically speaking, labeling this film a ""masterpiece"" is an insult by omission. Given that Shinkai is a master, anything he makes is obviously going to be a ""masterpiece,"" but among silt there is gold, and among gold there may be diamonds. This movie is a diamond, easily the prettiest feature length film I've ever seen; more so than even fetishistic attempts to be just read more",6
7,TheKillerAngel,"“Kimi no Na wa.” (Your Name) opens with a radiant comet traversing over the night sky, splitting apart into various meteors that illuminate and streak the heavens. Stars and celestial imagery often feature in Makoto Shinkai’s films, and the brilliance of the opening set piece could be dismissed as eye-candy. However, its significance is not fully understood until much later. To speak of names, one does not invoke Makoto Shinkai in conjunction with the phrase “happy ending.” To say that he has made his fame off producing romance anime is only half the story, as his work’s exploration of themes such as distance and unrequited love read more",10
8,R_TF,"THE AUTHOR-Makoto Shinkai who is regarded as one of the finest director of recent time and with works likes ""Hoshi no Koe"" ""GOW"" ""5CMPS"" under his belt,there is no doubt about the caliber of this man.
His majority of works relies mainly on the visual effect where each frame speak a word for itself,the tension he creates between the characters,the emotion he depicts with that and overall execution which even makes a simplest of the story somewhat extraordinary to watch.
I really find myself fond of those and following Shinkai over the years,I realised that plot-based work is never his strong point read more",7
9,mramirez96,"WARNING: THIS REVIEW CONTAIN SPOILERS

Oh, look at this, another anime that is highly overrated because it's pretty colours. Let's see together what is supposed to make this movie special, popular and loved:

1. Beginning: The movie already started with a plot convenience with the body swap. It was never explained how it works, what are the possible consequences and how can be reversed. Also, this premise is used for a comic purpose instead of trying to explore how this affects the protagonists psychologically and, through this premise, they could even have increased their empathy thanks to the experience of the exchange of bodies. There were more interesting ideas that could have been executed with this premise, although in the end they used it as a joke.

2. Characters: The protagonists are, basically, a comic relief during the first half. We know little to nothing about them beyond all the comedy they performed with them. In the second half, they were a failed attempt of time traveling superheroes. I'm not lying when I say that the characterization and/or backstory is nearly inexistent.

3. Time Traveling: This trope was used in the most retarded and convenient way possible. It is introduced because yes, it is never explained how it works, during the time traveling they always ended meeting each other, which is quite convenient. Why don't they end up on different timelines? How many days in time did they go back? Because they never said it during the movie, on any of the occasions. Also, the amnesia for time traveling appears when it suits the script best. Even they met in spiritual form, wtf? That's how retarded this movie is. And what the protagonists did after they met during time travelings? Nothing that contributes to the plot, story or character development.

4. The second half: After the introduction of time traveling, our protagonists try to change a past event that could have killed thousands of people. And why did they do that? They never knew about this case in first place. And how did they planned to do it? This part happened behind the scenes, for real? The writers were lazy even for their biggest plot twist. At the end, the case was solved without any time paradox, even if this doesn't make sense. Talking to the last sentence, of in the original time line, the deaths never happened, so all this plot twist was a total nonsense.

5. Ending: After the solving of the case, later, they met each other and magically remembered everything that happened. What a great way to end this movie.

Conclusion: It was terrible in many levels, if I didn't rated lower was because the animation and production values. ",3
10,dbdasm,"While the movie wasn't terrible, I was disappointed because I had high expectations for it. Most of the reviews seem to be overwhelming positive and it is ranked first so I guess most people enjoyed it. However for me, the story lacked alot while the art was outstanding (which is my opinion on most Makoto Shinkai's works).

STORY
I found the first half of the movie to be enjoyable and after the plot-twist, it kind of went downhill. The sci-fi element wasn't executed very well, alot of the times it felt as if happened all for plot convenience. The time travel and constant body-switching felt too much to me. I admit I was bored in the second half (which was pretty predictable). Also there is alot of inconsistencies which led to confusion.

ART AND SOUND
Art was amazing and sound was average (left no impression).

CHARACTERS
The two main characters aren't anything special. They are just your typical female and male lead who want to save everybody. There isn't too much to comment on them because there is nothing beyond them to analyse than what the show directly shows to you.

The female lead does get a little character development when she becomes more assertive to her father towards the end but honestly that's almost nothing. The minor characters were entertaining but also nothing special.

OVERALL
I think this movie is overrated. Yes, the art is amazing but in terms of plot is is average. For me, it left no impact or anything to think about or feel.
",6
